espn_game_id,date_time,away_espn_id,away_friendly_school,away_score,home_espn_id,home_friendly_school,home_score,conf_friendly
323152507,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2885,NJIT,63,2507,Providence,64,Nonconference
323152541,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),612,,66,2541,Santa Clara,106,Nonconference
323152572,Sat Nov 10 2012 20:30:00 GMT-0500 (Eastern Standard Time),98,Western Kentucky,64,2572,Southern Mississippi,67,Nonconference
323152608,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2574,NULL,69,2608,NULL,95,NULL
323152635,Sat Nov 10 2012 21:00:00 GMT-0500 (Eastern Standard Time),3168,,32,2635,Tennessee Tech,107,Nonconference
323152643,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2678,Virginia Military,76,2643,Citadel,84,Nonconference
323152710,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),89,,39,2710,Western Illinois,71,Nonconference
323152724,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),2428,North Carolina Central,57,2724,Wichita State,71,Nonconference
323152737,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2592,,48,2737,Winthrop,80,Nonconference
323152739,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2130,Chicago State,67,2739,Green Bay,72,Nonconference
323152751,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2714,,42,2751,Wyoming,62,Nonconference
323160012,Sun Nov 11 2012 18:00:00 GMT-0500 (Eastern Standard Time),2127,Charleston Southern,73,12,Arizona,82,Nonconference
323160021,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),183,Syracuse,62,21,San Diego State,49,Nonconference
323160025,Sun Nov 11 2012 22:00:00 GMT-0500 (Eastern Standard Time),2934,Cal State Bakersfield,65,25,California,78,Nonconference
323160046,Sun Nov 11 2012 18:30:00 GMT-0500 (Eastern Standard Time),2184,Duquesne,55,46,Georgetown,61,Nonconference
323160055,Sun Nov 11 2012 15:00:00 GMT-0500 (Eastern Standard Time),2199,Eastern Michigan,54,55,Jacksonville State,61,Nonconference
323160057,Sun Nov 11 2012 15:30:00 GMT-0500 (Eastern Standard Time),2011,Alabama State,35,57,Florida,84,Nonconference
323160062,Sun Nov 11 2012 22:00:00 GMT-0500 (Eastern Standard Time),2029,Arkansas Pine Bluff,54,62,Hawaii,81,Nonconference
323160068,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),2640,Texas Southern,63,68,Boise State,81,Nonconference
323160082,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),27,UC Riverside,52,82,Illinois-Chicago,59,Nonconference
323160097,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),2363,Manhattan,51,97,Louisville,79,Nonconference
323160103,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2229,Florida International,70,103,Boston College,84,Nonconference
323160107,Sun Nov 11 2012 16:15:00 GMT-0500 (Eastern Standard Time),107,Holy Cross,74,2415,Morgan State,73,Nonconference
323160153,Sun Nov 11 2012 14:30:00 GMT-0500 (Eastern Standard Time),2226,Florida Atlantic,56,153,North Carolina,80,Nonconference
323160158,Sun Nov 11 2012 19:00:00 GMT-0500 (Eastern Standard Time),2582,Southern,55,158,Nebraska,66,Nonconference
323160194,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),399,Albany,60,194,Ohio State,82,Nonconference
323160201,Sun Nov 11 2012 15:00:00 GMT-0500 (Eastern Standard Time),2433,Louisiana-Monroe,51,201,Oklahoma,85,Nonconference
323160202,Sun Nov 11 2012 20:05:00 GMT-0500 (Eastern Standard Time),2353,,54,202,Tulsa,110,Nonconference
323160204,Sun Nov 11 2012 21:30:00 GMT-0500 (Eastern Standard Time),166,New Mexico State,62,204,Oregon State,71,Nonconference
323160222,Sun Nov 11 2012 13:00:00 GMT-0500 (Eastern Standard Time),276,Marshall,68,222,Villanova,80,Nonconference
323160239,Sun Nov 11 2012 17:00:00 GMT-0500 (Eastern Standard Time),2296,Jackson State,47,239,Baylor,78,Nonconference
323160264,Sun Nov 11 2012 20:00:00 GMT-0500 (Eastern Standard Time),2352,Loyola (MD),63,264,Washington,85,Nonconference
